project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
nipafx_effective-java,0.37,0.18,962,969,3847,3866,410,416
codeworth-gh_panelmatic,36.96,20.0,169,237,324,524,100,162
kamilahsantos_consumindo-api-rick-morty-com-webclient,11.96,0.0,17,21,46,52,17,21
itsecurityco_cve-2022-22965,9.68,0.0,8,10,23,25,8,10
brkse_springboot_security_tutorial,81.63,0.0,3,7,4,16,3,7
legacyfighter_dodatkowe-zadania-java,37.23,25.36,171,242,272,407,114,173
dream11_vertx-rest,12.56,14.29,90,103,202,232,66,75
womakerscode_bootcamp-java-starwars-restapi,27.37,0.0,23,37,67,101,20,34
microsoft_credential-secure-storage-for-java,8.55,7.98,385,428,847,956,194,232
markbdsouza_hateoas-with-pagination,8.21,0.0,31,36,50,56,29,34
luanpsantos_clean-architecture,32.65,0.0,21,29,42,63,21,29
raviyasas_sample-room,5.43,0.0,59,64,52,62,36,41
cami-la_unit_testing_junit5,54.6,87.5,32,58,58,109,30,50
mozenn_spring-boot-keycloak,33.5,0.0,40,55,14,57,16,31
spring2go_graphql_event_app,2.8,0.0,405,419,249,267,181,195
sashinpivotal_spring-boot-tdd,71.49,40.62,17,37,8,61,3,21
piinalpin_springboot-jpa-specification,1.21,0.0,213,219,138,144,132,138
digitalpetri_strict-machine,0.0,0.0,135,135,295,295,107,107
linkedinlearning_spring-code-challenges-3161306,14.88,0.0,59,71,33,54,30,42
mozenn_spring-boot-hibernate-search,28.85,0.0,75,91,46,87,37,53
simplyi_newspringauthorizationserver,81.71,0.0,4,18,9,54,3,17
bykowski_invoice-spring-mvc-example,49.72,0.0,14,22,22,50,14,22
mmarcosab_rabbitmq-example,37.4,0.0,7,17,20,32,5,15
canalstephaniesantos_api-de-aposta,84.72,0.0,13,43,12,61,13,43
hannotify_eleven-crazy-java-things,0.0,0.0,53,53,95,95,49,49
kiberohrannik_webflux-log,92.7,93.24,19,192,31,397,14,155
neilmadden_salty-coffee,94.64,71.09,149,454,155,1919,47,259
lydtechconsulting_kafka-streams,78.74,31.67,41,115,24,143,12,85
bslota_optimistic-api,84.04,47.69,34,155,35,289,10,122
amigoscode_spring-boot-security-course,58.75,0.0,6,10,8,18,6,10
saigou-14h_facesystem,0.0,0.0,1216,1216,1701,1701,647,647
no-ob_lolisnatcher,0.0,0.0,310,310,1087,1087,130,130
todense_omnigraph,20.19,21.38,1772,2182,4431,5573,1036,1280
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,0.0,0.0,69,69,185,185,45,45
tomcools_dropwizard-websocket-jsr356-bundle,61.06,28.57,43,85,37,147,24,60
cfrasinaru_graph4j,52.63,45.7,3364,5801,6156,13150,1084,2287
aws-samples_amazon-appflow-custom-jdbc-connector,0.0,0.0,125,125,445,445,56,56
joseluisgs_springboot-productos-rest-dam-2021-2022,28.87,10.62,298,418,360,536,192,305
iainporter_spring-file-poller,92.79,0.0,1,23,4,55,1,23
cuteluobo_live-danmu-archive,7.92,3.82,1557,1626,4410,4820,945,1007
azure-samples_java-docs-spring-hello-world,30.0,0.0,2,3,3,4,2,3
basquiat78_interface-bbuljit,5.9,0.0,91,102,60,73,50,61
cloudblue_xml-doclet,89.5,72.66,109,455,106,888,47,316
filip26_titanium-json-ld,85.26,76.0,1094,3478,951,6703,229,1184
jaggerwang_spring-boot-in-practice,0.0,0.0,1827,1827,1114,1114,1021,1021
tuomount_open-realms-of-stars,69.11,66.17,9720,26135,21673,69501,1025,4614
