id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool, Tests,Project Type,Execution Time (s),Artifacts,Improved
307,sdaschner_favorite-coffee,4,4,49,49,0,0,33,33,16,16,0,0,maven,true,open source,1642,655706e25be0c1a492c1018c2260c73d3503cf85,no improvement
319,MichelliBrito_ms-email,7,1,137,3,14,0,66,2,54,1,3,0,maven,false,open source,131,4c425bbd735a0080e8efd6c277048b7bd84b1b91,improvement
318,Online-Job-Portal-CG_Backend,9,8,206,119,15,14,101,50,77,50,13,5,maven,true,open source,722,f8e7a3fedd9496d722921c9c37e458b416fae4c7,improvement
320,dhrubokinfotech_springboot-starter,13,10,174,98,20,15,59,37,87,41,8,5,maven,false,open source,879,dcde3b211c4ddf3ea17ab329e335834c7f76dd22,improvement
325,piotrkot_oojdbc,7,0,20,0,1,0,16,0,2,0,1,0,maven,false,open source,178,d4d5e4e4534417f1c4940a6a0236d197a519ff43,improvement
329,maximilianoalves_restassured-arch-example,7,1,30,8,2,0,13,5,13,3,2,0,maven,false,open source,90,ac4830f4ad2770245f7f5c12a8619270c92b7bdd,improvement
330,KBdog_crawler-comic-copymanga,5,3,33,4,1,0,11,2,12,2,9,0,maven,false,open source,94,f0da2a1ae464e0100c211441c0093a5352336439,improvement
335,gematik_ref-GemLibPki,1,1,3,2,0,0,1,1,2,1,0,0,maven,true,open source,254,60ec8aac28f06081059ebc9cc4a14652e7591aa5,improvement
336,juliengalet_reactor-flow,0,0,0,0,0,0,0,0,0,0,0,0,maven,true,open source,72,c1475604b3a2dc5cb365722880f409b95c6d28a2,no improvement
323,zjy-ag_rail-ticketing-system,9,9,270,209,13,13,95,68,132,105,30,23,maven,false,open source,1555,fdb26a372b4805dc9de3c352207f4c4996d1cb46,improvement
340,Ashiamd_UserBehaviorAnalysis-demos,6,5,360,192,0,0,138,108,216,84,6,0,maven,false,open source,363,52f8a98406cad0b31d72ad476d8e5d63ac1f3e99,improvement
342,Youngerjesus_spring-boot-kafka-guide,6,1,174,3,10,0,81,2,71,1,12,0,maven,true,open source,445,26b834135a674241b252db2938741f9771620289,improvement
764,MichelliBrito_springboot-azure,3,0,110,0,7,0,53,0,43,0,7,0,maven,true,open source,112,5aa5266f2601936cf6707fea884a05f496c58d48,improvement
765,baofeidyz_wtwu,4,3,119,24,8,6,54,10,49,7,8,1,maven,false,open source,252,515faa487b257318d22c0973aa5b1918eb0324c5,improvement
766,oooooomy_know-api,4,4,96,87,5,5,41,38,43,37,7,7,maven,false,open source,533,746d438a49d3a2cca2dc9e28b31e0d27751020ad,improvement
767,bseitkazin_spring-jwt-realization,8,8,247,197,13,13,88,88,115,77,31,19,maven,false,open source,1921,26d7c09360c207d18a4fdcd4a4024cdc097ad88a,improvement
769,HamdiBouallegue_stripe-spring-boot,5,4,103,102,7,7,45,45,44,43,7,7,maven,true,open source,908,c700f4c22fd3e52aeceae1084a92aefb1ddb3d2f,improvement
772,Gigass_fastPickUp,6,6,156,117,10,10,69,51,68,50,9,6,maven,false,open source,830,c4326a87a481cb174afdfe01b842204d9d836fcc,improvement
774,Crazynob_helpcat,17,5,263,84,5,3,64,42,126,26,68,13,maven,false,open source,317,f6f8bd7b006b3775fc751edbd52a5334c322cc88,improvement
775,tedgxt_keycloak-service-social-lark,3,2,336,163,15,14,128,85,166,56,27,8,maven,false,open source,1043,72102723d5d4e1b46c07ead953fdb849660e9f6b,improvement
776,dtuchs_heisenbug-2021-piter,5,0,60,0,9,0,26,0,24,0,1,0,maven,false,open source,88,af7e0a4b53281b04812dd4b624810c309a21b70d,improvement
777,gnu-gnu_spring-kafka-example,7,1,208,3,13,0,99,2,82,1,14,0,maven,true,open source,222,aa076e7db8d8975df76d08fc4d8f82a720b90f4c,improvement
780,open-dingtalk_org-mini-program-tutorial-java,3,3,90,90,6,6,39,40,38,38,7,6,maven,true,open source,571,705238da1eb588ea45ab15ec318a345fe6514720,improvement
782,Nuralam51_Spring-Boot-Payment-Gateway,4,2,102,60,7,3,45,24,43,28,7,5,maven,false,open source,381,dc131bdb16b6ae408f2d938d4caf19f662c24d70,improvement
339,chenggangpro_reactive-lock,4,4,84,84,8,8,41,41,34,34,1,1,maven,false,open source,9291,c53a918486bd769511c5c3539fcf989261ff4a60,no improvement
786,jpbaterabsb_jdbc-dio,1,1,9,1,0,0,3,0,6,1,0,0,maven,false,open source,34,928c8622b12927a2557da138cd98082524acd2ab,improvement
794,GeeTeam_gt4-java-demo,3,2,90,88,6,6,39,39,39,37,6,6,maven,false,open source,482,fd259fa7544c93e134d486a9e44ad47680f4f557,improvement
787,lengbingbin_Netty_chatroom,16,11,335,258,18,12,118,84,160,129,39,33,maven,true,open source,1025,c697d6e85e442acb08a012d83dc2cef6fb8c25f4,improvement
799,rformagio_java-grpc,6,1,480,6,27,0,154,4,256,2,43,0,maven,false,open source,149,b32e087ee98122786164e26342fc666d8e558425,improvement
801,SloppyJack_EasyExcelPlus,2,1,4,3,0,0,3,3,0,0,1,0,maven,false,open source,63,557c4d50bf38a4f9b5e2004f1537b5b1f592bf65,improvement
797,hongfish_fish1208-fiscobcos-javasdk,8,7,193,134,12,12,91,67,76,53,14,2,maven,false,open source,948,e1c384fac0d0636077ab311acce23a4e9b32f710,improvement
805,springframeworkguru_reactive-examples,2,0,83,0,5,0,39,0,34,0,5,0,maven,true,open source,72,f6cf91e586919e83c19fbea575656e7c5694b6be,improvement
804,Crazynob_liberty,12,7,374,117,15,4,129,60,165,38,65,15,maven,true,open source,528,3a35c61971bbe8e12e4b90cc719de6e7e2654f83,improvement
810,Aerozb_like,7,4,234,101,14,7,101,32,107,58,12,4,maven,false,open source,575,d00c40d86b698adfb6cd78fe9190409df83e2b14,improvement
811,flowscolors_kube-eventer4j,11,6,161,111,7,6,76,51,71,48,7,6,maven,true,open source,1111,750329e18535503d53d824728d3455ba4b478231,improvement
815,zxdposter_jackson-fastjson-like,1,0,5,0,0,0,1,0,4,0,0,0,maven,false,open source,41,67118065fb63b4d226dc28ed69b703b913843265,improvement
814,HamdiBouallegue_keycloak-backend,4,3,193,101,10,7,92,45,78,42,13,7,maven,true,open source,548,3aa8ffd64ed12fd0d836f48d1352d7c3fe946139,improvement
818,dykstrom_mazela-man,1,1,88,77,11,11,33,22,44,44,0,0,maven,false,open source,261,9174dc8e858251c15e2b650aad6af278d4fe2be5,improvement
816,subash-m_Spring-Boot-Olingo-OData-V4.01,3,3,84,69,3,3,39,30,37,31,5,5,maven,false,open source,348,634ccc6515f525b2dea99dc3d8f617ab84f0c560,improvement
822,MaksuCode_youtube-selenium-lessons,3,2,29,9,6,2,14,6,8,1,1,0,maven,false,open source,213,a64ae8fb91cc23789a47e9bfb58b2f0801f1b154,improvement
825,binarywang_jar-utils,2,0,14,0,1,0,8,0,5,0,0,0,maven,false,open source,67,7dec6c16377b9f83f57e3e822dfa116d8fd1dd94,improvement
826,daliasheasha_HibernateApp,1,1,9,1,0,0,3,0,6,1,0,0,maven,false,open source,55,a9a1fcf7f1327ef161dd3e69f0f5d2c055160258,improvement
828,xpleaf_calcite-tutorial,3,3,230,79,3,1,43,15,145,51,39,12,maven,false,open source,71,786606797664d42c13aa778de5ed4f444dc7f8ab,improvement
829,GitHub-ZC_kuwo_flac_decrypt,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,37,b50f91cd155687fa4977969a65228dcdbe696761,no improvement
